"LOINC"	"MAP_TO"	"COMMENT"
"22570-6"	"8037-4"	
"22574-8"	"13276-1"	
"22576-3"	"13275-3"	
"22588-8"	"22587-0"	
"22589-6"	"11597-2"	
"22591-2"	"6561-5"	
"22593-8"	"6562-3"	
"22597-9"	"17733-7"	
"22598-7"	"17735-2"	
"22612-6"	"17770-9"	
"22622-5"	"9772-5"	
"22623-3"	"14953-4"	
"22667-0"	"15066-4"	
"22669-6"	"20642-5"	
"22673-8"	"20646-6"	
"22675-3"	"2742-5"	
"22677-9"	"20639-1"	
"22683-7"	"18475-4"	
"2274-9"	"1769-9"	
"22750-4"	"50927-3"	
"22754-6"	"39354-6"	
"22757-9"	"19049-6"	
"22762-9"	"22542-5"	
"22812-2"	"22811-4"	
"22821-3"	"22365-1"	
"22835-3"	"22834-6"	
"22852-8"	"22104-4"	
"22957-5"	"22956-7"	
"22985-6"	"22982-3"	
"2298-8"	"1761-6"	
"2300-2"	"1761-6"	
"23261-1"	"23260-3"	
"23312-2"	"23316-3"	
"23317-1"	"23313-0"	
"23323-9"	"23321-3"	
"23331-2"	"23329-6"	
"23348-6"	"23345-2"	
"23353-6"	"23351-0"	
"23375-9"	"23372-6"	
"23392-4"	"51647-6"	
"23393-2"	"51646-8"	
"23394-0"	"15454-2"	
"23395-7"	"22103-6"	
"23430-2"	"23427-8"	
"23439-3"	"23441-9"	
"23457-5"	"23456-7"	
"23481-5"	"23479-9"	
"23484-9"	"22577-1"	
"23490-6"	"23487-2"	
"23516-8"	"23515-0"	
"23525-9"	"23522-6"	
"23527-5"	"23523-4"	
"23556-4"	"23555-6"	
"23617-4"	"20382-8"	
"23618-2"	"20374-5"	
"23619-0"	"20375-2"	
"23620-8"	"20376-0"	
"23621-6"	"20377-8"	
"23622-4"	"20378-6"	
"23623-2"	"20379-4"	
"23624-0"	"20373-7"	
"23625-7"	"20381-0"	
"23626-5"	"20462-8"	
"23630-7"	"20386-9"	
"23631-5"	"20387-7"	
"23632-3"	"20461-0"	
"23633-1"	"20380-2"	
"23670-3"	"7816-2"	
"23748-7"	"5218-3"	
"23796-6"	"15262-9"	
"23804-8"	"15218-1"	
"23817-0"	"15337-9"	
"23818-8"	"15338-7"	
"23824-6"	"12914-8"	
"23839-4"	"2099-0"	
"23847-7"	"19737-6"	
"2388-7"	"2387-9"	
"23902-0"	"21394-2"	
"23908-7"	"5028-6"	
"23928-5"	"17501-8"	
"23932-7"	"21540-0"	
"23941-8"	"1645-1"	
"23944-2"	"14952-6"	
"23947-5"	"20383-6"	
"23948-3"	"20384-4"	
"23949-1"	"20385-1"	
"24019-2"	"24018-4"	
"24037-4"	"4994-0"	
"24069-7"	"21111-0"	
"24090-3"	"1837-4"	
"24112-5"	"6568-0"	
"24131-5"	"15219-9"	
"24133-1"	"15266-0"	
"24134-9"	"15267-8"	
"24135-6"	"15269-4"	
"24152-1"	"7076-3"	
"24157-0"	"6164-8"	
"24160-4"	"7140-7"	
"24164-6"	"7731-3"	
"24166-1"	"7609-1"	
"24167-9"	"19753-3"	
"24168-7"	"7184-5"	
"24317-0"	"58410-2"	
"24355-0"	"24357-6"	
"2438-0"	"29283-9"	
"2438-0"	"29292-0"	
"24398-0"	"5390-0"	
"24399-8"	"8040-8"	
"24453-3"	"24451-7"	
"24457-4"	"20659-9"	
"24466-5"	"21166-4"	
"24473-1"	"19078-5"	
"24785-8"	"24789-0"	
"24786-6"	"24784-1"	
"24791-6"	"24789-0"	
"24886-4"	"30830-4"	
"25004-3"	"24702-3"	
"25021-7"	"43559-4"	
"25037-3"	"24619-9"	
"42142-0"	"24609-0"	
"42154-5"	"24799-9"	
"42155-2"	"30734-8"	
"42172-7"	"26164-4"	
"42173-5"	"26165-1"	
"42194-1"	"43970-3"	
"42195-8"	"43971-1"	
"42243-6"	"718-7"	
"42264-2"	"24974-8"	
"4226-7"	"4224-2"	
"42384-8"	"39148-2"	
"42440-8"	"24843-5"	
"42519-9"	"41132-2"	
"4257-2"	"4102-0"	
"42625-4"	"42603-1"	
"42643-7"	"25210-6"	
"42644-5"	"25180-1"	
"42645-2"	"25195-9"	
"42646-0"	"25194-2"	
"42647-8"	"25231-2"	
"42648-6"	"25196-7"	
"42649-4"	"25218-9"	
"42650-2"	"25219-7"	
"42652-8"	"25182-7"	
"42653-6"	"41409-4"	
"42654-4"	"25215-5"	
"42656-9"	"25200-7"	
"42657-7"	"25202-3"	
"42658-5"	"25206-4"	
"42659-3"	"25205-6"	
"42679-1"	"3274-8"	
"4277-0"	"4223-4"	
"42790-6"	"42789-8"	
"42806-0"	"42803-7"	
"42809-4"	"580-1"	
"42935-7"	"25229-6"	
"42948-0"	"22584-7"	
"4297-8"	"4296-0"	
"43014-0"	"22347-9"	
"43054-6"	"32775-9"	
"43083-5"	"22112-7"	
"4312-5"	"4308-3"	
"43132-0"	"44747-4"	
"43268-2"	"42882-1"	
"4340-6"	"4248-1"	
"43465-4"	"24637-1"	
"43520-6"	"24650-4"	
"43540-4"	"43497-7"	
"43541-2"	"43489-4"	
"43542-0"	"43492-8"	
"43544-6"	"43491-0"	
"43545-3"	"43490-2"	
"43546-1"	"43494-4"	
"4354-7"	"4213-5"	
"43547-9"	"43495-1"	
"43548-7"	"43496-9"	
"43549-5"	"39730-7"	
"43551-1"	"44169-1"	
"43553-7"	"42479-6"	
"4355-4"	"4210-1"	
"43560-2"	"24667-8"	
"43560-2"	"24669-4"	
"43560-2"	"44227-7"	
"43668-3"	"905-0"	
"43735-0"	"5946-9"	
"43738-4"	"43397-9"	
"43786-3"	"43463-9"	
"43812-7"	"22096-2"	
"43931-5"	"17036-5"	
"43943-0"	"38255-6"	
"4400-8"	"4225-9"	
"44091-7"	"38272-1"	
"4413-1"	"4414-9"	
"44180-8"	"37853-9"	
"44200-4"	"43523-0"	
"44207-9"	"26358-2"	
"44238-4"	"42439-0"	
"44290-5"	"31217-3"	
"4434-7"	"4433-9"	
"4467-7"	"10630-2"	
"4468-5"	"20563-3"	
"44741-7"	"31400-5"	
"44742-5"	"43601-4"	
"44743-3"	"43600-6"	
"4480-0"	"4479-2"	
"44937-1"	"15000-3"	
"4499-0"	"4501-3"	
"45064-3"	"24321-2"	
"45065-0"	"24323-8"	
"45077-5"	"21188-8"	
"45079-1"	"16600-9"	
"45081-7"	"21192-0"	
"45082-5"	"45078-3"	
"45083-3"	"45080-9"	
"4512-0"	"4532-8"	
"4515-3"	"2269-9"	
"45202-9"	"44740-9"	
"45203-7"	"17578-6"	
"45223-5"	"43751-7"	
"4541-9"	"3244-1"	
"46112-9"	"9588-5"	
"46113-7"	"9598-4"	
"46114-5"	"9589-3"	
"46115-2"	"9590-1"	
"46116-0"	"9591-9"	
"46117-8"	"9599-2"	
"46118-6"	"9592-7"	
"46119-4"	"9587-7"	
"46120-2"	"9593-5"	
"46121-0"	"9594-3"	
"46122-8"	"9595-0"	
"46123-6"	"9596-8"	
"46124-4"	"9597-6"	
"46129-3"	"6771-0"	
"46161-6"	"9588-5"	
"46162-4"	"9589-3"	
"46163-2"	"9598-4"	
"46164-0"	"9590-1"	
"46165-7"	"9591-9"	
"46166-5"	"9592-7"	
"46167-3"	"9599-2"	
"46168-1"	"9593-5"	
"46169-9"	"9587-7"	
"46170-7"	"9594-3"	
"46171-5"	"9595-0"	
"46172-3"	"9596-8"	
"46173-1"	"9597-6"	
"4620-1"	"4625-0"	
"46280-4"	"24890-6"	
"46334-9"	"24570-4"	
"4634-2"	"4633-4"	
"46353-9"	"30744-7"	
"4637-5"	"4547-6"	
"4642-5"	"2403-4"	
"4646-6"	"3273-0"	
"4647-4"	"3275-5"	
"46607-8"	"46098-0"	"This is duplicate with Nar. Mapped to HL7 Admin definition"
"4666-4"	"12241-6"	
"4666-4"	"4667-2"	
"4670-6"	"2269-9"	
"46727-4"	"42607-2"	
"4673-0"	"4820-7"	
"4674-8"	"6010-3"	
"4675-5"	"4822-3"	
"46757-1"	"46762-1"	
"4676-3"	"4823-1"	
"4678-9"	"5892-5"	
"46972-6"	"16248-7"	
"47262-1"	"47268-8"	
"47535-0"	"25082-9"	
"48171-3"	"25217-1"	
"48172-1"	"29315-9"	
"48287-7"	"48193-7"	
"48318-0"	"15609-1"	
"48396-6"	"31345-2"	
"48397-4"	"31674-5"	
"48437-8"	"48444-4"	
"48438-6"	"48453-5"	
"48559-9"	"48558-1"	
"48640-7"	"49572-1"	
"48648-0"	"47031-0"	
"48658-9"	"31674-5"	
"48744-7"	"37616-0"	
"49138-1"	"9539-8"	
"49139-9"	"9540-6"	
"49140-7"	"10904-1"	
"49141-5"	"10905-8"	
"49193-6"	"22375-0"	
"49194-4"	"22373-5"	
"49195-1"	"7940-0"	
"49530-9"	"61101-2"	
"49754-5"	"12258-0"	
"50261-7"	"24362-6"	
"50283-1"	"30238-0"	
"50339-1"	"2093-3"	
"50383-9"	"50384-7"	
"50399-5"	"55232-3"	
"50942-2"	"34444-0"	
"5123-5"	"5121-9"	
"51301-0"	"32533-2"	
"51390-3"	"24794-0"	
"51713-6"	"28541-1"	
"51830-8"	"30465-9"	
"51853-0"	"34104-0"	
"51894-4"	"51878-7"	
"51936-3"	"35538-8"	
"51949-6"	"50715-2"	
"5214-2"	"5213-4"	
"52559-2"	"29300-1"	
"53038-6"	"51968-6"	
"53115-2"	"51584-1"	
"53599-7"	"52539-4"	
"53729-0"	"53363-8"	
"53734-0"	"53470-1"	
"5412-2"	"8117-4"	
"5413-0"	"8106-7"	
"5414-8"	"8107-5"	
"5416-3"	"17098-5"	
"5417-1"	"17099-3"	
"5418-9"	"17100-9"	
"5419-7"	"17101-7"	
"5420-5"	"17102-5"	
"5421-3"	"17103-3"	
"5422-1"	"17104-1"	
"5423-9"	"17105-8"	
"5424-7"	"17106-6"	
"5425-4"	"17107-4"	
"5426-2"	"17109-0"	
"5427-0"	"17110-8"	
"5428-8"	"8109-1"	
"5429-6"	"17112-4"	
"5430-4"	"17113-2"	
"5431-2"	"17114-0"	
"5432-0"	"17115-7"	
"5433-8"	"17116-5"	
"5434-6"	"8110-9"	
"5435-3"	"8111-7"	
"5436-1"	"17117-3"	
"5437-9"	"8115-8"	
"5438-7"	"8112-5"	
"5439-5"	"9680-0"	
"5440-3"	"8113-3"	
"5441-1"	"8114-1"	
"5443-7"	"17121-5"	
"5444-5"	"8117-4"	
"5445-2"	"17122-3"	
"5446-0"	"17123-1"	
"5447-8"	"8118-2"	
"54479-1"	"53218-4"	
"54484-1"	"53220-0"	
"5448-6"	"8119-0"	
"5449-4"	"8120-8"	
"5450-2"	"14017-8"	
"5451-0"	"17125-6"	
"5452-8"	"14018-6"	
"5453-6"	"17126-4"	
"5454-4"	"8121-6"	
"5455-1"	"17127-2"	
"5456-9"	"17128-0"	
"5457-7"	"17129-8"	
"5458-5"	"17130-6"	
"5459-3"	"8124-0"	
"5460-1"	"17136-3"	
"5461-9"	"17137-1"	
"5462-7"	"17138-9"	
"5463-5"	"17139-7"	
"5464-3"	"8102-6"	
"5465-0"	"8125-7"	
"5466-8"	"17140-5"	
"5467-6"	"13346-2"	
"5468-4"	"17141-3"	
"5469-2"	"17142-1"	
"5470-0"	"8126-5"	
"5471-8"	"17143-9"	
"5472-6"	"8123-2"	
"5473-4"	"17146-2"	
"5474-2"	"54218-3"	
"5475-9"	"17147-0"	
"5476-7"	"17148-8"	
"5477-5"	"17149-6"	
"5478-3"	"17150-4"	
"5479-1"	"17151-2"	
"54793-5"	"45689-7"	
"5480-9"	"17152-0"	
"5481-7"	"17154-6"	
"5482-5"	"17155-3"	
"5483-3"	"17156-1"	
"5484-1"	"8130-7"	
"5485-8"	"17157-9"	
"5486-6"	"17158-7"	
"5487-4"	"17159-5"	
"5488-2"	"17160-3"	
"5489-0"	"17161-1"	
"5490-8"	"17162-9"	
"5491-6"	"17163-7"	
"5492-4"	"17164-5"	
"5493-2"	"17165-2"	
"5494-0"	"17166-0"	
"5495-7"	"17167-8"	
"5496-5"	"17168-6"	
"5497-3"	"8132-3"	
"5498-1"	"17169-4"	
"5499-9"	"17170-2"	
"5500-4"	"17171-0"	
"5501-2"	"17172-8"	
"5502-0"	"17173-6"	
"5503-8"	"17174-4"	
"5504-6"	"17175-1"	
"5505-3"	"8133-1"	
"5506-1"	"8134-9"	
"5507-9"	"17176-9"	
"5508-7"	"17177-7"	
"5509-5"	"17178-5"	
"5510-3"	"20478-4"	
"5511-1"	"17179-3"	
"5512-9"	"17180-1"	
"5513-7"	"17181-9"	
"5514-5"	"17182-7"	
"5515-2"	"17183-5"	
"5516-0"	"17184-3"	
"5517-8"	"17185-0"	
"5518-6"	"17186-8"	
"5519-4"	"17187-6"	
"5520-2"	"17188-4"	
"5521-0"	"17189-2"	
"5522-8"	"17190-0"	
"5523-6"	"8135-6"	
"5524-4"	"17191-8"	
"5525-1"	"8136-4"	
"5526-9"	"17192-6"	
"5527-7"	"17193-4"	
"5528-5"	"17194-2"	
"5529-3"	"17195-9"	
"55297-6"	"55092-1"	
"5530-1"	"17196-7"	
"5531-9"	"17197-5"	
"5532-7"	"8101-8"	
"5533-5"	"17199-1"	
"5535-0"	"17200-7"	
"5536-8"	"17201-5"	
"5537-6"	"17202-3"	
"5538-4"	"17203-1"	
"5539-2"	"17204-9"	
"5540-0"	"17205-6"	
"5542-6"	"17206-4"	
"5543-4"	"17207-2"	
"5544-2"	"17208-0"	
"5545-9"	"17209-8"	
"5546-7"	"17210-6"	
"5547-5"	"17211-4"	
"5548-3"	"17212-2"	
"5549-1"	"17213-0"	
"5550-9"	"17214-8"	
"5551-7"	"17216-3"	
"5552-5"	"17217-1"	
"5553-3"	"17219-7"	
"5554-1"	"17218-9"	
"5555-8"	"17220-5"	
"5556-6"	"17221-3"	
"5558-2"	"32759-3"	
"55700-9"	"53824-9"	
"5576-4"	"5574-9"	
"5613-5"	"29277-1"	
"5613-5"	"29290-4"	
"56638-0"	"17533-1"	
"56638-0"	"56977-2"	
"5672-1"	"17052-2"	
"5672-1"	"5671-3"	
"56793-3"	"41396-3"	
"56904-6"	"21619-2"	
"56908-7"	"8101-8"	
"5707-5"	"5706-7"	
"5712-5"	"5711-7"	
"57223-0"	"54893-3"	
"57224-8"	"54946-9"	
"57225-5"	"54950-1"	
"57227-1"	"52729-1"	
"57230-5"	"46536-9"	
"57283-4"	"46589-8"	
"57286-7"	"46473-5"	
"57292-5"	"50956-2"	
"57447-5"	"6822-1"	
"5758-8"	"13940-2"	
"5758-8"	"29296-1"	
"5801-6"	"5814-9"	
"58094-4"	"55125-9"	
"58095-1"	"55126-7"	
"58096-9"	"54886-7"	
"58097-7"	"54887-5"	
"58098-5"	"54890-9"	
"58103-3"	"55124-2"	
"58216-3"	"57228-9"	
"5889-1"	"27822-6"	
"5895-7"	"6301-6"	
"5896-5"	"6302-4"	
"5897-3"	"6303-2"	
"5898-2"	"3173-2"	
"59002-6"	"9383-1"	
"5907-1"	"777-3"	
"59152-9"	"49613-3"	
"59152-9"	"62261-3"	
"5917-0"	"5933-7"	
"591-8"	"590-0"	
"5924-6"	"2749-0"	
"592-6"	"590-0"	
"5926-1"	"2949-6"	
"5927-9"	"2820-9"	
"5928-1"	"2071-9"	
"5934-5"	"905-0"	
"5935-2"	"3394-4"	
"5937-8"	"3394-4"	
"5939-4"	"3393-6"	
"5940-2"	"3395-1"	
"5941-0"	"3396-9"	
"5943-6"	"5942-8"	
"5944-4"	"5903-0"	
"5945-1"	"5904-8"	
"5948-5"	"5946-9"	
"5951-9"	"5949-3"	
"5952-7"	"5950-1"	
"5953-5"	"5947-7"	
"5954-3"	"3243-3"	
"5960-0"	"5958-4"	
"5961-8"	"5957-6"	
"5962-6"	"5959-2"	
"5963-4"	"5956-8"	
"5968-3"	"5990-7"	
"60113-8"	"13908-9"	
"6017-8"	"15284-3"	
"6017-8"	"7062-3"	
"6017-8"	"7063-1"	
"6017-8"	"7064-9"	
"6028-3"	"6304-0"	
"6028-5"	"6029-3"	
"60341-5"	"53788-6"	
"6036-8"	"6037-6"	
"6043-4"	"15283-5"	
"6055-8"	"6030-1"	
"6064-0"	"6833-8"	
"6079-8"	"6078-0"	
"6086-3"	"6085-5"	
"6104-4"	"6103-6"	
"6146-5"	"6145-7"	
"6157-2"	"6155-6"	
"6184-6"	"6048-3"	
"6191-1"	"6093-9"	
"6215-8"	"7369-2"	
"62257-1"	"48813-0"	
"62259-7"	"48813-0"	
"6235-6"	"6236-4"	
"6235-6"	"7674-5"	
"6255-4"	"6160-6"	
"6283-6"	"16922-7"	
"6335-4"	"6332-1"	
"6336-2"	"5074-0"	
"6342-0"	"5083-1"	
"6358-6"	"4993-2"	
"6382-6"	"16740-3"	
"6382-6"	"7859-2"	
"6383-4"	"31342-9"	
"6383-4"	"31343-7"	
"6404-8"	"6403-0"	
"6415-5"	"8271-9"	
"6423-8"	"5850-3"	
"6451-9"	"5020-3"	
"6484-0"	"6482-4"	
"6485-7"	"6483-2"	
"6491-5"	"5028-6"	
"6520-1"	"700-5"	
"6530-0"	"6529-2"	
"6531-8"	"6529-2"	
"6534-2"	"6533-4"	
"6535-9"	"6533-4"	
"6537-5"	"6536-7"	
"6538-3"	"6536-7"	
"6540-9"	"6539-1"	
"6541-7"	"6539-1"	
"6582-1"	"45043-7"	
"6645-7"	"8272-7"	
"6646-5"	"8273-5"	
"6647-3"	"8274-3"	
"6648-1"	"8275-0"	
"6649-9"	"8276-8"	
"6660-5"	"6607-6"	
"6684-5"	"6683-7"	
"6685-2"	"1874-7"	
"6686-0"	"1903-4"	
"6697-7"	"1798-8"	
"6698-5"	"1761-6"	
"6710-8"	"2447-1"	
"6716-5"	"3181-5"	
"6717-3"	"3182-3"	
"6769-4"	"6768-6"	
"6772-8"	"1884-6"	
"6775-1"	"1848-1"	
"6777-7"	"2345-7"	
"67857-3"	"34109-9"	
"67858-1"	"34746-8"	
"67859-9"	"34111-5"	
"6796-7"	"2502-3"	
"6798-3"	"2609-6"	
"6828-8"	"6020-2"	
"6834-6"	"6833-8"	
"6843-7"	"6844-5"	
"6849-4"	"6189-5"	
"689-0"	"688-2"	
"6900-5"	"29282-1"	
"6900-5"	"29291-2"	
"6902-1"	"29285-4"	
"6902-1"	"29294-6"	
"6904-7"	"3953-7"	
"6904-7"	"3954-5"	
"6973-2"	"5763-8"	
"7085-4"	"6117-6"	
"7163-9"	"6118-4"	
"7165-4"	"7164-7"	
"7186-0"	"6833-8"	
"7219-9"	"6259-6"	
"7228-0"	"6074-9"	
"7256-1"	"7255-3"	
"7299-1"	"6108-5"	
"7300-7"	"6109-3"	
"7303-1"	"7302-3"	
"7306-4"	"6111-9"	
"7329-6"	"7326-2"	
"7352-8"	"6228-1"	
"7357-7"	"6153-1"	
"7363-5"	"6169-7"	
"7371-8"	"7369-2"	
"7372-6"	"7369-2"	
"7373-4"	"7370-0"	
"7390-8"	"6136-6"	
"7406-2"	"6209-1"	
"7443-5"	"6118-4"	
"745-0"	"30444-4"	
"7457-5"	"6239-8"	
"750-0"	"26498-6"	
"7512-7"	"6281-0"	
"752-6"	"751-8"	
"7540-8"	"6093-9"	
"7541-6"	"6190-3"	
"7561-4"	"6060-8"	
"7581-2"	"7402-1"	
"7582-0"	"6208-3"	
"7607-5"	"6282-8"	
"7620-8"	"7254-6"	
"7630-7"	"7625-7"	
"7636-4"	"6029-3"	
"7650-5"	"6085-5"	
"7651-3"	"7646-3"	
"7666-1"	"7665-3"	
"7679-4"	"7678-6"	
"7684-4"	"7681-0"	
"7725-5"	"21547-5"	
"7730-5"	"6263-8"	
"773-2"	"18309-5"	
"7741-2"	"6859-3"	
"7773-5"	"6277-8"	
"7783-4"	"6287-7"	
"780-7"	"26523-1"	
"7820-4"	"22162-2"	
"7820-4"	"22163-0"	
"782-3"	"26524-9"	
"7825-3"	"22205-9"	
"7825-3"	"22206-7"	
"7878-2"	"7877-4"	
"7938-4"	"44745-8"	
"7938-4"	"44748-2"	
"7939-2"	"44744-1"	
"7939-2"	"44746-6"	
"8044-0"	"5397-5"	
"8064-8"	"3181-5"	
"8066-3"	"3182-3"	
"8127-3"	"24467-3"	
"8128-1"	"8123-2"	
"8129-9"	"54218-3"	
"8137-2"	"14135-8"	
"8138-0"	"8101-8"	
"8173-7"	"3530-3"	
"8206-5"	"5696-0"	
"8208-1"	"5702-6"	
"830-0"	"14980-7"	
"831-8"	"14981-5"	
"832-6"	"14982-3"	
"833-4"	"14980-7"	
"834-2"	"14981-5"	
"835-9"	"14982-3"	
"8644-7"	"6617-5"	
"8645-4"	"6616-7"	
"8685-0"	"11365-4"	
"9206-4"	"9200-7"	
"9207-2"	"9198-3"	
"9208-0"	"9199-1"	
"9209-8"	"9201-5"	
"9210-6"	"9202-3"	
"9319-5"	"9310-4"	
"932-4"	"933-2"	
"9337-7"	"9336-9"	
"9370-8"	"9332-8"	
"9373-2"	"9334-4"	
"9402-9"	"1717-8"	
"9499-5"	"7174-6"	
"9503-4"	"17738-6"	
"9504-2"	"3042-9"	
"9509-1"	"2098-2"	
"9510-9"	"5622-6"	
"9526-5"	"44754-0"	
"9526-5"	"44755-7"	
"9560-4"	"9559-6"	
"9562-0"	"9561-2"	
"9697-4"	"9415-1"	
"9698-2"	"3536-0"	
"9739-4"	"9438-3"	
"9769-1"	"21560-8"	
"9769-1"	"5376-9"	
"9770-9"	"21561-6"	
"9770-9"	"5377-7"	
"9785-7"	"10704-5"	
"9841-8"	"9439-1"	
